stage,date,distance_km,origin,destination,type,winner,winner_country,year
1,1949-06-30,182.0,Paris,Reims,Flat stage,Marcel Dussault,FRA,1949
2,1949-07-01,273.0,Reims,Brussels,Flat stage,Roger Lambrecht,BEL,1949
3,1949-07-02,211.0,Brussels,Boulogne-sur-Mer,Flat stage,Norbert Callens,BEL,1949
4,1949-07-03,185.0,Boulogne-sur-Mer,Rouen,Flat stage,Lucien Teisseire,FRA,1949
5,1949-07-04,293.0,Rouen,Saint-Malo,Flat stage,Ferdinand Kübler,SUI,1949
6,1949-07-05,305.0,Saint-Malo,Les Sables-d'Olonne,Flat stage,Adolphe Deledda,FRA,1949
7,1949-07-07,92.0,Les Sables-d'Olonne,La Rochelle,Individual time trial,Fausto Coppi,ITA,1949
8,1949-07-08,262.0,La Rochelle,Bordeaux,Flat stage,Guy Lapébie,FRA,1949
9,1949-07-09,228.0,Bordeaux,San Sebastián,Flat stage,Louis Caput,FRA,1949
10,1949-07-10,192.0,San Sebastián,Pau,Flat stage,Fiorenzo Magni,ITA,1949
11,1949-07-12,193.0,Pau,Luchon,Mountain stage,Jean Robic,FRA,1949
12,1949-07-13,134.0,Luchon,Toulouse,Flat stage,Rik Van Steenbergen,BEL,1949
13,1949-07-14,289.0,Toulouse,Nîmes,Flat stage,Emile Idée,FRA,1949
14,1949-07-15,199.0,Nîmes,Marseille,Flat stage,Jean Goldschmidt,LUX,1949
15,1949-07-16,215.0,Marseille,Cannes,Flat stage,Désiré Keteleer,BEL,1949
16,1949-07-18,275.0,Cannes,Briançon,Mountain stage,Gino Bartali,ITA,1949
17,1949-07-19,257.0,Briançon,Aosta,Mountain stage,Fausto Coppi,ITA,1949
18,1949-07-21,265.0,Aosta,Lausanne,Mountain stage,Vincenzo Rossello,ITA,1949
19,1949-07-22,283.0,Lausanne,Colmar,Mountain stage,Raphaël Géminiani,FRA,1949
20,1949-07-23,137.0,Colmar,Nancy,Individual time trial,Fausto Coppi,ITA,1949
21,1949-07-24,340.0,Nancy,Paris,Flat stage,Rik Van Steenbergen,BEL,1949
1,1948-06-30,237.0,Paris,Trouville,Flat stage,Gino Bartali,ITA,1948
2,1948-07-01,259.0,Trouville,Dinard,Flat stage,Vincenzo Rossello,ITA,1948
3,1948-07-02,251.0,Dinard,Nantes,Flat stage,Guy Lapébie,FRA,1948
4,1948-07-03,166.0,Nantes,La Rochelle,Flat stage,Jacques Pras,FRA,1948
5,1948-07-04,262.0,La Rochelle,Bordeaux,Flat stage,Raoul Remy,FRA,1948
6,1948-07-05,244.0,Bordeaux,Biarritz,Flat stage,Louison Bobet,FRA,1948
7,1948-07-07,219.0,Biarritz,Lourdes,Mountain stage,Gino Bartali,ITA,1948
8,1948-07-08,261.0,Lourdes,Toulouse,Mountain stage,Gino Bartali,ITA,1948
9,1948-07-10,246.0,Toulouse,Montpellier,Flat stage,Raymond Impanis,BEL,1948
10,1948-07-11,248.0,Montpellier,Marseille,Flat stage,Raymond Impanis,BEL,1948
11,1948-07-12,245.0,Marseille,Sanremo,Flat stage,Gino Sciardis,ITA,1948
12,1948-07-13,170.0,Sanremo,Cannes,Mountain stage,Louison Bobet,FRA,1948
13,1948-07-15,274.0,Cannes,Briançon,Mountain stage,Gino Bartali,ITA,1948
14,1948-07-16,263.0,Briançon,Aix-les-Bains,Mountain stage,Gino Bartali,ITA,1948
15,1948-07-18,256.0,Aix-les-Bains,Lausanne,Mountain stage,Gino Bartali,ITA,1948
16,1948-07-19,243.0,Lausanne,Mulhouse,Mountain stage,Edward Van Dijck,BEL,1948
17,1948-07-21,120.0,Mulhouse,Strasbourg,Individual time trial,Roger Lambrecht,BEL,1948
18,1948-07-22,195.0,Strasbourg,Metz,Flat stage,Giovanni Corrieri,ITA,1948
19,1948-07-23,249.0,Metz,Liège,Flat stage,Gino Bartali,ITA,1948
20,1948-07-24,228.0,Liège,Roubaix,Flat stage,Bernard Gauthier,FRA,1948
21,1948-07-25,286.0,Roubaix,Paris,Flat stage,Giovanni Corrieri,ITA,1948
1,1947-06-25,236.0,Paris,Lille,Flat stage,Ferdinand Kübler,SUI,1947
2,1947-06-26,182.0,Lille,Brussels,Flat stage,René Vietto,FRA,1947
3,1947-06-27,314.0,Brussels,Luxembourg City,Flat stage,Aldo Ronconi,ITA,1947
4,1947-06-28,223.0,Luxembourg City,Strasbourg,Flat stage,Jean Robic,FRA,1947
5,1947-06-29,248.0,Strasbourg,Besançon,Flat stage,Ferdinand Kübler,SUI,1947
6,1947-07-01,249.0,Besançon,Lyon,Flat stage,Lucien Teisseire,FRA,1947
7,1947-07-02,172.0,Lyon,Grenoble,Mountain stage,Jean Robic,FRA,1947
8,1947-07-03,185.0,Grenoble,Briançon,Mountain stage,Fermo Camellini,ITA,1947
9,1947-07-05,217.0,Briançon,Digne,Mountain stage,René Vietto,FRA,1947
10,1947-07-06,255.0,Digne,Nice,Mountain stage,Fermo Camellini,ITA,1947
11,1947-07-08,230.0,Nice,Marseille,Flat stage,Édouard Fachleitner,FRA,1947
12,1947-07-09,165.0,Marseille,Montpellier,Flat stage,Henri Massal,FRA,1947
13,1947-07-10,172.0,Montpellier,Carcassonne,Flat stage,Lucien Teisseire,FRA,1947
14,1947-07-11,253.0,Carcassonne,Luchon,Mountain stage,Albert Bourlon,FRA,1947
15,1947-07-13,195.0,Luchon,Pau,Mountain stage,Jean Robic,FRA,1947
16,1947-07-14,195.0,Pau,Bordeaux,Flat stage,Giuseppe Tacca,ITA,1947
17,1947-07-15,272.0,Bordeaux,Les Sables-d'Olonne,Flat stage,Éloi Tassin,FRA,1947
18,1947-07-16,236.0,Les Sables-d'Olonne,Vannes,Flat stage,Pietro Tarchini,SUI,1947
19,1947-07-18,139.0,Vannes,Saint-Brieuc,Individual time trial,Raymond Impanis,BEL,1947
20,1947-07-19,235.0,Saint-Brieuc,Caen,Flat stage,Maurice Diot,FRA,1947
21,1947-07-20,257.0,Caen,Paris,Flat stage,Briek Schotte,BEL,1947
1,1939-07-10,215.0,Paris,Caen,Flat stage,Amédée Fournier,FRA,1939
2a,1939-07-11,64.0,Caen,Vire,Individual time trial,Romain Maes,BEL,1939
2b,1939-07-11,119.0,Vire,Rennes,Flat stage,Éloi Tassin,FRA,1939
3,1939-07-12,244.0,Rennes,Brest,Flat stage,Pierre Cloarec,FRA,1939
4,1939-07-13,174.0,Brest,Lorient,Flat stage,Raymond Louviot,FRA,1939
5,1939-07-14,207.0,Lorient,Nantes,Flat stage,Amédée Fournier,FRA,1939
6a,1939-07-15,144.0,Nantes,La Rochelle,Flat stage,Lucien Storme,BEL,1939
6b,1939-07-15,107.0,La Rochelle,Royan,Flat stage,Edmond Pagès,FRA,1939
7,1939-07-17,198.0,Royan,Bordeaux,Flat stage,Raymond Passat,FRA,1939
8a,1939-07-18,210.0,Bordeaux,Salies-de-Béarn,Flat stage,Marcel Kint,BEL,1939
8b,1939-07-18,69.0,Salies-de-Béarn,Pau,Individual time trial,Karl Litschi,SUI,1939
9,1939-07-19,311.0,Pau,Toulouse,Mountain stage,Edward Vissers,BEL,1939
10a,1939-07-21,149.0,Toulouse,Narbonne,Flat stage,Pierre Jaminet,FRA,1939
10b,1939-07-21,27.0,Narbonne,Béziers,Individual time trial,Maurice Archambaud,FRA,1939
10c,1939-07-21,70.0,Béziers,Montpellier,Flat stage,Maurice Archambaud,FRA,1939
11,1939-07-22,212.0,Montpellier,Marseille,Flat stage,Fabien Galateau,FRA,1939
12a,1939-07-23,157.0,Marseille,Saint-Raphaël,Flat stage,François Neuens,LUX,1939
12b,1939-07-23,122.0,Saint-Raphaël,Monaco,Flat stage,Maurice Archambaud,FRA,1939
13,1939-07-24,101.0,Monaco,Monaco,Mountain stage,Pierre Gallien,FRA,1939
14,1939-07-25,175.0,Monaco,Digne,Flat stage,Pierre Cloarec,FRA,1939
15,1939-07-26,219.0,Digne,Briançon,Mountain stage,Sylvère Maes,BEL,1939
16a,1939-07-27,126.0,Briançon,Briançon,Mountain stage,Pierre Jaminet,FRA,1939
16b,1939-07-27,64.0,Bonneval,Bourg-Saint-Maurice,Individual time trial,Sylvère Maes,BEL,1939
16c,1939-07-27,104.0,Bourg-Saint-Maurice,Annecy,Flat stage,Antoon van Schendel,NED,1939
17a,1939-07-29,226.0,Annecy,Dôle,Mountain stage,François Neuens,LUX,1939
17b,1939-07-29,59.0,Dôle,Dijon,Individual time trial,Maurice Archambaud,FRA,1939
18a,1939-07-30,151.0,Dijon,Troyes,Flat stage,René Le Grevès,FRA,1939
18b,1939-07-30,201.0,Troyes,Paris,Flat stage,Marcel Kint,BEL,1939
1,1938-07-05,215.0,Paris,Caen,Flat stage,Willi Oberbeck,GER,1938
2,1938-07-06,237.0,Caen,Saint-Brieuc,Flat stage,Jean Majerus,LUX,1938
3,1938-07-07,238.0,Saint-Brieuc,Nantes,Flat stage,Gerrit Schulte,NED,1938
4a,1938-07-08,62.0,Nantes,La Roche-sur-Yon,Flat stage,Éloi Meulenberg,BEL,1938
4b,1938-07-08,83.0,La Roche-sur-Yon,La Rochelle,Flat stage,Éloi Meulenberg,BEL,1938
4c,1938-07-08,83.0,La Rochelle,Royan,Flat stage,Félicien Vervaecke,BEL,1938
5,1938-07-10,198.0,Royan,Bordeaux,Flat stage,Éloi Meulenberg,BEL,1938
6a,1938-07-11,53.0,Bordeaux,Arcachon,Flat stage,Jules Rossi,ITA,1938
6b,1938-07-11,171.0,Arcachon,Bayonne,Flat stage,Glauco Servadei,ITA,1938
7,1938-07-12,115.0,Bayonne,Pau,Flat stage,Theo Middelkamp,NED,1938
8,1938-07-14,193.0,Pau,Luchon,Mountain stage,Félicien Vervaecke,BEL,1938
9,1938-07-16,260.0,Luchon,Perpignan,Mountain stage,Jean Fréchaut,FRA,1938
10a,1938-07-17,63.0,Perpignan,Narbonne,Flat stage,Antoon van Schendel,NED,1938
10b,1938-07-17,27.0,Narbonne,Béziers,Individual time trial,Félicien Vervaecke,BEL,1938
10c,1938-07-17,73.0,Béziers,Montpellier,Flat stage,Antonin Magne,FRA,1938
11,1938-07-18,223.0,Montpellier,Marseille,Flat stage,Gino Bartali,ITA,1938
12,1938-07-19,199.0,Marseille,Cannes,Flat stage,Jean Fréchaut,FRA,1938
13,1938-07-21,284.0,Cannes,Digne,Mountain stage,Dante Gianello,FRA,1938
14,1938-07-22,219.0,Digne,Briançon,Mountain stage,Gino Bartali,ITA,1938
15,1938-07-23,311.0,Briançon,Aix-les-Bains,Mountain stage,Marcel Kint,BEL,1938
16,1938-07-25,284.0,Aix-les-Bains,Besançon,Mountain stage,Marcel Kint,BEL,1938
17a,1938-07-26,89.0,Besançon,Belfort,Flat stage,Émile Masson Jr.,BEL,1938
17b,1938-07-26,143.0,Belfort,Strasbourg,Flat stage,Jean Fréchaut,FRA,1938
18,1938-07-27,186.0,Strasbourg,Metz,Flat stage,Marcel Kint,BEL,1938
19,1938-07-28,196.0,Metz,Reims,Flat stage,Fabien Galateau,FRA,1938
20a,1938-07-30,48.0,Reims,Laon,Flat stage,Glauco Servadei,ITA,1938
20b,1938-07-30,42.0,Laon,Saint-Quentin,Individual time trial,Félicien Vervaecke,BEL,1938
20c,1938-07-30,107.0,Saint-Quentin,Lille,Flat stage,François Neuville,BEL,1938
21,1938-07-31,279.0,Lille,Paris,Flat stage,Antonin Magne André Leducq[n 2],"c(""FRA"", ""FRA"")",1938
1,1937-06-30,263.0,Paris,Lille,Flat stage,Jean Majerus,LUX,1937
2,1937-07-01,192.0,Lille,Charleville,Flat stage,Maurice Archambaud,FRA,1937
3,1937-07-02,161.0,Charleville,Metz,Flat stage,Walter Generati,ITA,1937
4,1937-07-03,220.0,Metz,Belfort,Mountain stage,Erich Bautz,GER,1937
5a,1937-07-04,175.0,Belfort,Lons-le-Saunier,Flat stage,Henri Puppo,FRA,1937
5b,1937-07-04,34.0,Lons-le-Saunier,Champagnole,Team time trial,Sylvère Maes,BEL,1937
5c,1937-07-04,93.0,Champagnole,Geneva,Flat stage,Leo Amberg,SUI,1937
6,1937-07-06,180.0,Geneva,Aix-les-Bains,Mountain stage,Gustaaf Deloor,BEL,1937
7,1937-07-07,228.0,Aix-les-Bains,Grenoble,Mountain stage,Gino Bartali,ITA,1937
8,1937-07-08,194.0,Grenoble,Briançon,Mountain stage,Otto Weckerling,GER,1937
9,1937-07-09,220.0,Briançon,Digne,Mountain stage,Roger Lapébie,FRA,1937
10,1937-07-11,251.0,Digne,Nice,Mountain stage,Félicien Vervaecke,BEL,1937
11a,1937-07-13,169.0,Nice,Toulon,Flat stage,Eloi Meulenberg,BEL,1937
11b,1937-07-13,65.0,Toulon,Marseille,Team time trial,Gustaaf Danneels,BEL,1937
12a,1937-07-14,112.0,Marseille,Nîmes,Flat stage,Alphonse Antoine,FRA,1937
12b,1937-07-14,51.0,Nîmes,Montpellier,Flat stage,René Pedroli,SUI,1937
13a,1937-07-15,103.0,Montpellier,Narbonne,Flat stage,Francesco Camusso,ITA,1937
13b,1937-07-15,63.0,Narbonne,Perpignan,Flat stage,Eloi Meulenberg,BEL,1937
14a,1937-07-17,99.0,Perpignan,Bourg-Madame,Flat stage,Eloi Meulenberg,BEL,1937
14b,1937-07-17,59.0,Bourg-Madame,Ax-les-Thermes,Mountain stage,Mariano Canardo,ESP,1937
14c,1937-07-17,167.0,Ax-les-Thermes,Luchon,Mountain stage,Eloi Meulenberg,BEL,1937
15,1937-07-19,194.0,Luchon,Pau,Mountain stage,Julian Berrendero,ESP,1937
16,1937-07-21,235.0,Pau,Bordeaux,Flat stage,Paul Chocque,FRA,1937
17a,1937-07-22,123.0,Bordeaux,Royan,Flat stage,Erich Bautz,GER,1937
17b,1937-07-22,37.0,Royan,Saintes,Flat stage,Adolph Braeckeveldt Heinz Wengler[n 3],"c(""BEL"", ""GER"")",1937
17c,1937-07-22,67.0,Saintes,La Rochelle,Flat stage,Roger Lapébie,FRA,1937
18a,1937-07-23,82.0,La Rochelle,La Roche-sur-Yon,Team time trial,Roger Lapébie,FRA,1937
18b,1937-07-23,172.0,La Roche-sur-Yon,Rennes,Flat stage,Paul Chocque,FRA,1937
19a,1937-07-24,114.0,Rennes,Vire,Flat stage,Raymond Passat,FRA,1937
19b,1937-07-24,59.0,Vire,Caen,Individual time trial,Leo Amberg,SUI,1937
20,1937-07-25,234.0,Caen,Paris,Flat stage,Edward Vissers,BEL,1937
1,1936-07-07,258.0,Paris,Lille,Flat stage,Paul Egli,SUI,1936
2,1936-07-08,192.0,Lille,Charleville,Flat stage,Robert Wierinckx,BEL,1936
3,1936-07-09,161.0,Charleville,Metz,Flat stage,Mathias Clemens,LUX,1936
4,1936-07-10,220.0,Metz,Belfort,Mountain stage,Maurice Archambaud,FRA,1936
5,1936-07-11,298.0,Belfort,Évian-les-Bains,Flat stage,René Le Grèves,FRA,1936
6,1936-07-13,212.0,Évian-les-Bains,Aix-les-Bains,Mountain stage,Éloi Meulenberg,BEL,1936
7,1936-07-14,230.0,Aix-les-Bains,Grenoble,Mountain stage,Theo Middelkamp,NED,1936
8,1936-07-15,194.0,Grenoble,Briançon,Mountain stage,Jean-Marie Goasmat,FRA,1936
9,1936-07-16,220.0,Briançon,Digne,Mountain stage,Léon Level,FRA,1936
10,1936-07-18,156.0,Digne,Nice,Flat stage,Paul Maye,FRA,1936
11,1936-07-19,126.0,Nice,Cannes,Mountain stage,Federico Ezquerra,ESP,1936
12,1936-07-21,195.0,Cannes,Marseille,Flat stage,René Le Grevès,FRA,1936
13a,1936-07-22,112.0,Marseille,Nîmes,Flat stage,René Le Grevès,FRA,1936
13b,1936-07-22,52.0,Nîmes,Montpellier,Individual time trial,Sylvère Maes,BEL,1936
14a,1936-07-23,103.0,Montpellier,Narbonne,Flat stage,René Le Grevès,FRA,1936
14b,1936-07-23,63.0,Narbonne,Perpignan,Individual time trial,Sylvère Maes,BEL,1936
15,1936-07-25,325.0,Perpignan,Luchon,Mountain stage,Sauveur Ducazeaux,FRA,1936
16,1936-07-27,194.0,Luchon,Pau,Mountain stage,Sylvère Maes,BEL,1936
17,1936-07-29,229.0,Pau,Bordeaux,Flat stage,René Le Grevès,FRA,1936
18a,1936-07-30,117.0,Bordeaux,Saintes,Flat stage,Éloi Meulenberg,BEL,1936
18b,1936-07-30,75.0,Saintes,La Rochelle,Individual time trial,Sylvère Maes,BEL,1936
19a,1936-07-31,81.0,La Rochelle,La Roche-sur-Yon,Flat stage,Marcel Kint,BEL,1936
19b,1936-07-31,65.0,La Roche-sur-Yon,Cholet,Individual time trial,Félicien Vervaecke,BEL,1936
19c,1936-07-31,67.0,Cholet,Angers,Flat stage,Paul Maye,FRA,1936
20a,1936-08-01,204.0,Angers,Vire,Flat stage,René Le Grevès,FRA,1936
20b,1936-08-01,55.0,Vire,Caen,Individual time trial,Antonin Magne,FRA,1936
21,1936-08-02,234.0,Caen,Paris,Flat stage,Arsène Mersch,LUX,1936
1,1935-07-04,262.0,Paris,Lille,Flat stage,Romain Maes,BEL,1935
2,1935-07-05,192.0,Lille,Charleville,Flat stage,Charles Pélissier,FRA,1935
3,1935-07-06,161.0,Charleville,Metz,Flat stage,Rafaele di Paco,ITA,1935
4,1935-07-07,220.0,Metz,Belfort,Mountain stage,Jean Aerts,BEL,1935
5a,1935-07-08,262.0,Belfort,"Geneva, Switzerland",Flat stage,Maurice Archambaud,FRA,1935
5b,1935-07-08,58.0,Geneva,Evian,Individual time trial,Rafaele di Paco,ITA,1935
6,1935-07-10,207.0,Evian,Aix-les-Bains,Mountain stage,René Vietto,FRA,1935
7,1935-07-11,229.0,Aix-les-Bains,Grenoble,Mountain stage,Francesco Camusso,ITA,1935
8,1935-07-12,102.0,Grenoble,Gap,Mountain stage,Jean Aerts,BEL,1935
9,1935-07-13,227.0,Gap,Digne,Mountain stage,René Vietto,FRA,1935
10,1935-07-14,156.0,Digne,Nice,Flat stage,Jean Aerts,BEL,1935
11,1935-07-16,126.0,Nice,Cannes,Mountain stage,Romain Maes,BEL,1935
12,1935-07-17,195.0,Cannes,Marseille,Flat stage,Charles Pélissier,FRA,1935
13a,1935-07-18,112.0,Marseille,Nîmes,Flat stage,Vasco Bergamaschi,ITA,1935
13b,1935-07-18,56.0,Nîmes,Montpellier,Individual time trial,Georges Speicher,FRA,1935
14a,1935-07-19,103.0,Montpellier,Narbonne,Flat stage,René Le Grevès,FRA,1935
14b,1935-07-19,63.0,Narbonne,Perpignan,Individual time trial,Maurice Archambaud,FRA,1935
15,1935-07-20,325.0,Perpignan,Luchon,Mountain stage,Sylvère Maes,BEL,1935
16,1935-07-22,194.0,Luchon,Pau,Mountain stage,Ambrogio Morelli,ITA,1935
17,1935-07-24,224.0,Pau,Bordeaux,Flat stage,Julien Moineau,FRA,1935
18a,1935-07-25,158.0,Bordeaux,Rochefort,Flat stage,René Le Grevès,FRA,1935
18b,1935-07-25,33.0,Rochefort,La Rochelle,Individual time trial,André Leducq,FRA,1935
19a,1935-07-26,81.0,La Rochelle,La Roche sur Yon,Flat stage,René Le Grevès,FRA,1935
19b,1935-07-26,95.0,La Roche sur Yon,Nantes,Individual time trial,Jean Aerts,BEL,1935
20a,1935-07-27,220.0,Nantes,Vire,Flat stage,René Le Grevès,FRA,1935
20b,1935-07-27,55.0,Vire,Caen,Individual time trial,Ambrogio Morelli,ITA,1935
21,1935-07-28,221.0,Caen,Paris,Flat stage,Romain Maes,BEL,1935
1,1934-07-03,262.0,Paris,Lille,Flat stage,Georges Speicher,FRA,1934
2,1934-07-04,192.0,Lille,Charleville,Flat stage,René Le Grevès,FRA,1934
3,1934-07-05,161.0,Charleville,Metz,Flat stage,Roger Lapébie,FRA,1934
4,1934-07-06,220.0,Metz,Belfort,Mountain stage,Roger Lapébie,FRA,1934
5,1934-07-07,293.0,Belfort,Evian,Flat stage,René Le Grevès  Georges Speicher[n 2],"c(""FRA"", ""FRA"")",1934
6,1934-07-09,207.0,Evian,Aix-les-Bains,Mountain stage,Georges Speicher,FRA,1934
7,1934-07-10,229.0,Aix-les-Bains,Grenoble,Mountain stage,René Vietto,FRA,1934
8,1934-07-11,102.0,Grenoble,Gap,Mountain stage,Giuseppe Martano,ITA,1934
9,1934-07-12,227.0,Gap,Digne,Mountain stage,René Vietto,FRA,1934
10,1934-07-13,156.0,Digne,Nice,Flat stage,René Le Grevès,FRA,1934
11,1934-07-15,126.0,Nice,Cannes,Mountain stage,René Vietto,FRA,1934
12,1934-07-16,195.0,Cannes,Marseille,Flat stage,Roger Lapébie,FRA,1934
13,1934-07-17,172.0,Marseille,Montpellier,Flat stage,Georges Speicher,FRA,1934
14,1934-07-18,177.0,Montpellier,Perpignan,Flat stage,Roger Lapébie,FRA,1934
15,1934-07-20,158.0,Perpignan,Ax-les-Thermes,Flat stage,Roger Lapébie,FRA,1934
16,1934-07-21,165.0,Ax-les-Thermes,Luchon,Mountain stage,Adriano Vignoli,ITA,1934
17,1934-07-22,91.0,Luchon,Tarbes,Mountain stage,Antonin Magne,FRA,1934
18,1934-07-23,172.0,Tarbes,Pau,Mountain stage,René Vietto,FRA,1934
19,1934-07-25,215.0,Pau,Bordeaux,Flat stage,Ettore Meini,ITA,1934
20,1934-07-26,183.0,Bordeaux,La Rochelle,Flat stage,Georges Speicher,FRA,1934
21a,1934-07-27,81.0,La Rochelle,La Roche sur Yon,Flat stage,René Le Grevès,FRA,1934
21b,1934-07-27,90.0,La Roche sur Yon,Nantes,Individual time trial,Antonin Magne,FRA,1934
22,1934-07-28,275.0,Nantes,Caen,Flat stage,Raymond Louviot,FRA,1934
23,1934-07-29,221.0,Caen,Paris,Flat stage,Sylvère Maes,BEL,1934
1,1933-06-27,262.0,Paris,Lille,Flat stage,Maurice Archambaud,FRA,1933
2,1933-06-28,192.0,Lille,Charleville,Flat stage,Learco Guerra,ITA,1933
3,1933-06-29,166.0,Charleville,Metz,Flat stage,Alfons Schepers,BEL,1933
4,1933-06-30,220.0,Metz,Belfort,Mountain stage,Jean Aerts,BEL,1933
5,1933-07-01,293.0,Belfort,Evian,Mountain stage,Léon Louyet,BEL,1933
6,1933-07-03,207.0,Evian,Aix-les-Bains,Mountain stage,Learco Guerra,ITA,1933
7,1933-07-04,229.0,Aix-les-Bains,Grenoble,Mountain stage,Learco Guerra,ITA,1933
8,1933-07-05,102.0,Grenoble,Gap,Mountain stage,Georges Speicher,FRA,1933
9,1933-07-06,227.0,Gap,Digne,Mountain stage,Georges Speicher,FRA,1933
10,1933-07-07,156.0,Digne,Nice,Flat stage,Fernand Cornez,FRA,1933
11,1933-07-09,128.0,Nice,Cannes,Mountain stage,Maurice Archambaud,FRA,1933
12,1933-07-10,208.0,Cannes,Marseille,Flat stage,Georges Speicher,FRA,1933
13,1933-07-11,168.0,Marseille,Montpellier,Flat stage,André Leducq,FRA,1933
14,1933-07-12,166.0,Montpellier,Perpignan,Flat stage,André Leducq,FRA,1933
15,1933-07-14,158.0,Perpignan,Ax-les-Thermes,Mountain stage,Jean Aerts,BEL,1933
16,1933-07-15,165.0,Ax-les-Thermes,Luchon,Mountain stage,Léon Louyet,BEL,1933
17,1933-07-16,91.0,Luchon,Tarbes,Mountain stage,Jean Aerts,BEL,1933
18,1933-07-17,185.0,Tarbes,Pau,Mountain stage,Learco Guerra,ITA,1933
19,1933-07-19,233.0,Pau,Bordeaux,Flat stage,Jean Aerts,BEL,1933
20,1933-07-20,183.0,Bordeaux,La Rochelle,Flat stage,Jean Aerts,BEL,1933
21,1933-07-21,266.0,La Rochelle,Rennes,Flat stage,Jean Aerts,BEL,1933
22,1933-07-22,169.0,Rennes,Caen,Flat stage,René Le Grevès,FRA,1933
23,1933-07-23,222.0,Caen,Paris,Flat stage,Learco Guerra,ITA,1933
1,1932-07-06,208.0,Paris,Caen,Flat stage,Jean Aerts,BEL,1932
2,1932-07-07,300.0,Caen,Nantes,Flat stage,Kurt Stöpel,GER,1932
3,1932-07-09,387.0,Nantes,Bordeaux,Flat stage,André Leducq,FRA,1932
4,1932-07-11,206.0,Bordeaux,Pau,Flat stage,Georges Ronsse,BEL,1932
5,1932-07-12,229.0,Pau,Luchon,Mountain stage,Antonio Pesenti,ITA,1932
6,1932-07-14,322.0,Luchon,Perpignan,Mountain stage,Frans Bonduel,BEL,1932
7,1932-07-16,168.0,Perpignan,Montpellier,Flat stage,Frans Bonduel,BEL,1932
8,1932-07-17,206.0,Montpellier,Marseille,Flat stage,Michele Orecchia,ITA,1932
9,1932-07-18,191.0,Marseille,Cannes,Flat stage,Rafaele di Paco,ITA,1932
10,1932-07-19,132.0,Cannes,Nice,Mountain stage,Francesco Camusso,ITA,1932
11,1932-07-21,233.0,Nice,Gap,Mountain stage,André Leducq,FRA,1932
12,1932-07-22,102.0,Gap,Grenoble,Mountain stage,Roger Lapébie,FRA,1932
13,1932-07-23,230.0,Grenoble,Aix-les-Bains,Mountain stage,André Leducq,FRA,1932
14,1932-07-24,204.0,Aix-les-Bains,Evian,Mountain stage,Rafaele di Paco,ITA,1932
15,1932-07-25,291.0,Evian,Belfort,Mountain stage,André Leducq,FRA,1932
16,1932-07-26,145.0,Belfort,Strasbourg,Flat stage,Gérard Loncke,BEL,1932
17,1932-07-27,165.0,Strasbourg,Metz,Flat stage,Rafaele di Paco,ITA,1932
18,1932-07-28,159.0,Metz,Charleville,Flat stage,Rafaele di Paco,ITA,1932
19,1932-07-29,271.0,Charleville,Malo-les-Bains,Flat stage,Gaston Rebry,BEL,1932
20,1932-07-30,212.0,Malo-les-Bains,Amiens,Flat stage,André Leducq,FRA,1932
21,1932-07-31,159.0,Amiens,Paris,Flat stage,André Leducq,FRA,1932
1,1931-06-30,208.0,Paris,Caen,Flat stage,Alfred Haemerlinck,BEL,1931
2,1931-07-01,212.0,Caen,Dinan,Flat stage,Max Bulla,AUT,1931
3,1931-07-02,206.0,Dinan,Brest,Flat stage,Fabio Battesini,ITA,1931
4,1931-07-03,211.0,Brest,Vannes,Flat stage,André Godinat,FRA,1931
5,1931-07-04,202.0,Vannes,Les Sables d'Olonne,Flat stage,Charles Pélissier,FRA,1931
6,1931-07-05,338.0,Les Sables d'Olonne,Bordeaux,Flat stage,Alfred Haemerlinck,BEL,1931
7,1931-07-06,180.0,Bordeaux,Bayonne,Flat stage,Gérard Loncke,BEL,1931
8,1931-07-07,106.0,Bayonne,Pau,Flat stage,Charles Pélissier,FRA,1931
9,1931-07-08,231.0,Pau,Luchon,Mountain stage,Antonin Magne,FRA,1931
10,1931-07-10,322.0,Luchon,Perpignan,Mountain stage,Rafaele di Paco,ITA,1931
11,1931-07-12,164.0,Perpignan,Montpellier,Flat stage,Rafaele di Paco,ITA,1931
12,1931-07-13,207.0,Montpellier,Marseille,Flat stage,Max Bulla,AUT,1931
13,1931-07-14,181.0,Marseille,Cannes,Flat stage,Charles Pélissier,FRA,1931
14,1931-07-15,132.0,Cannes,Nice,Mountain stage,Eugenio Gestri,ITA,1931
15,1931-07-17,233.0,Nice,Gap,Mountain stage,Jef Demuysere,BEL,1931
16,1931-07-18,102.0,Gap,Grenoble,Mountain stage,Charles Pélissier,FRA,1931
17,1931-07-19,230.0,Grenoble,Aix-les-Bains,Mountain stage,Max Bulla,AUT,1931
18,1931-07-20,204.0,Aix-les-Bains,Evian,Mountain stage,Jef Demuysere,BEL,1931
19,1931-07-21,282.0,Evian,Belfort,Mountain stage,Rafaele di Paco,ITA,1931
20,1931-07-22,209.0,Belfort,Colmar,Mountain stage,André Leducq,FRA,1931
21,1931-07-23,192.0,Colmar,Metz,Flat stage,Rafaele di Paco,ITA,1931
22,1931-07-24,159.0,Metz,Charleville,Flat stage,Raffaele di Paco,ITA,1931
23,1931-07-25,271.0,Charleville,Malo-les-Bains,Flat stage,Gaston Rebry,BEL,1931
